Security Code,Issuer Name,Security Id,ISIN No,Industry
500002,ABB India Limited,ABB,INE117A01022,Heavy Electrical Equipment
500003,Aegis Logistics Ltd.,AEGISLOG,INE208C01025,Trading - Gas
500008,Amara Raja Batteries Ltd,AMARAJABAT,INE885A01032,Auto Components & Equipments
500009,"Ambalal Sarabhai Enterprise Ltd.,",AMBALALSA,INE432A01017,Pharmaceuticals
500010,Housing Development Finance Corp.Lt,HDFC,INE001A01036,Housing Finance Company
500012,"Andhra Petrochemicals Ltd.,",ANDHRAPET,INE714B01016,Commodity Chemicals
500014,UTIQUE ENTERPRISES LIMITED,UTIQUE,INE714B01016,Precious Metals
500016,Aruna Hotels Ltd.,ARUNAHTEL,INE957C01019,Hotels & Resorts
500020,"Bombay Dyeing & Mfg. Co. Ltd.,",BOMDYEING,INE032A01023,Other Textile Products
500023,Asian Hotels (North) Limited,ASIANHOTNR,INE363A01022,Hotels & Resorts
500027,"Atul Limited.,",ATUL,INE100A01010,Specialty Chemicals
500028,ATV Projects India Ltd,ATVPR,INE447A01015,Industrial Products
500031,"Bajaj Electricals Ltd.,",BAJAJELEC,INE193E01025,Household Appliances
500032,Bajaj Hindusthan Sugar Limited,BAJAJHIND,INE306A01021,Sugar
500033,Force Motors Limited,FORCEMOT,INE451A01017,Passenger Cars & Utility Vehicles
500034,Bajaj Finance Limited,BAJFINANCE,INE296A01024,Non Banking Financial Company (NBFC)
500038,Balrampur Chini Mills Ltd.,BALRAMCHIN*,INE119A01028,Sugar
500039,"Banco Products (India) Ltd.,",BANCOINDIA,INE213C01025,Auto Components & Equipments
500040,"Century Textiles & Industries Ltd.,",CENTURYTEX,INE055A01016,Paper & Paper Products
500041,"Bannari Amman Sugars Ltd.,",BANARISUG,INE459A01010,Sugar
500042,BASF India Ltd,BASF,INE373A01013,Specialty Chemicals
500043,Bata India Limited,BATAINDIA,INE176A01028,Footwear
500048,BEML Ltd,BEML,INE258A01016,Construction Vehicles
500049,"Bharat Electronics Ltd.,",BEL,INE263A01024,Aerospace & Defense
500052,"Bhansali Engineering Polymers Ltd.,",BEPL,INE922A01025,Specialty Chemicals
500058,Bihar Sponge Iron Ltd,BIHSPONG,INE819C01011,Sponge Iron
500060,Birla Cable Limited,BIRLACABLE,INE800A01015,Telecom -  Equipment & Accessories
500067,Blue Star Ltd,BLUESTARCO,INE472A01039,Household Appliances
500068,Disa India Ltd.,DISAQ,INE131C01011,Industrial Products
500069,QUEST CAPITAL MARKETS LIMITED,QUESTCAP,INE418C01012,Other Capital Market related Services
500074,"BPL Ltd.,",BPL,INE110A01019,Consumer Electronics
500078,ORIENTAL AROMATICS LIMITED,OAL,INE959C01023,Specialty Chemicals
500083,"Century Extrusions Ltd.,",CENTEXT,INE281A01026,Aluminium- Copper & Zinc Products
500084,"CESC Limited,",CESC,INE486A01021,Integrated Power Utilities
500085,Chambal Fertilisers & Chemicals Ltd,CHAMBLFERT,INE085A01013,Fertilizers
500086,"Exide Industries Ltd.,",EXIDEIND,INE302A01020,Auto Components & Equipments
500087,"Cipla Ltd.,",CIPLA,INE059A01026,Pharmaceuticals
500089,DIC India Ltd,DICIND,INE303A01010,Printing Inks
500092,CRISIL Ltd.,CRISIL,INE007A01025,Other Financial Services
500093,CG Power and Industrial Solutions Limited,CGPOWER,INE067A01029,Heavy Electrical Equipment
500096,Dabur India Ltd.,DABUR,INE016A01026,Personal Care
500097,Dalmia Bharat Sugar and Industries Ltd,DALMIASUG,INE495A01022,Sugar
500101,"Arvind Ltd.,",ARVIND,INE034A01011,Garments & Apparels
500102,"Ballarpur Industries Ltd.,",BALLARPUR,INE294A01037,Paper & Paper Products
